ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;100;80;Кран шаровой;Тяжпромарматура АО, Россия;2008;2018;712-1;1452;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Тяжпромарматура АО, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;Яргазарматура, Россия;2017;2018;712-3;1847;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Отсечной;50;80;Кран шаровой;Яргазарматура, Россия;2016;2018;712-5;3482;;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Перемычка;1000;80;Кран шаровой;Волгограднефтемаш, Россия;2017;2018;812;3347;130568;30;Да;МВ 39183-1000-03;09Г2С;Подземное;Пневмогидравлический;Волгограднефтемаш, Россия;2018;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;1000;75;Кран шаровой;Кобе Стил, Япония;1982;1984;37;В-3659;130568;;Да;75К-1000 мм;ASTM A352 LLC Mod.;Подземное;Пневмогидравлический;Биффи, Италия;1984;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;100;80;Кран шаровой;Яргазарматура, Россия;2016;2016;714-1;2592;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2016;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Выпускной;50;80;Кран шаровой;Яргазарматура, Россия;2016;2016;71-5;3135;130568;30;Не требуется;ЯГТ 50ПЦА.00.00.ПС;09Г2С;Надземное;Ручной (ручка, рычаг, маховик);Яргазарматура, Россия;2016;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Обводной;150;80;Кран шаровой;Тяжпромарматура АО, Россия;2015;2016;38;684;130568;20;Не требуется;;;Надземное;Ручной (ручка, рычаг, маховик);Тяжпромарматура АО, Россия;2016;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Перемычка;1000;80;Кран шаровой;Волгограднефтемаш, Россия;2015;2016;714;3271;130568;30;Да;МВ 39183-1000-03;09Г2С;Подземное;Пневмогидравлический;Волгограднефтемаш, Россия;2016;
ЛПУ МГ Бобровское;КС Бобровская, цех №1;КЦ;Перемычка;1000;80;Кран шаровой;Волгограднефтемаш, Россия;2016;2016;814;3269;130568;30;Да;МВ 39183-1000-03;09Г2С;Подземное;Пневмогидравлический;Волгограднефтемаш, Россия;2016;
